Unnamed: 0,joburl,skill,designation,orgnization,experience,location,moredesc,salary,recruitername,recruiterdetails,jobpostingdate
0,https://www.naukri.com/job-listings-Trainee-data-Scientist-PS-Value-C-Consulting-Services-Private-Limited-Hyderabad-Pune-Delhi-NCR-0-to-5-years-210919004884?src=jobsearchDesk&sid=15692605182591&xp=1&px=1,"datamining, Data Scientist, Artificial Intelligence, Machine Learning...",Trainee-data Scientist- PS,Value C Consulting Services Private Limited,0-5 yrs,"Hyderabad, Pune, Delhi NCR","  datamining, Data Scientist, Artificial Intelligence, Machine Learning... "," INR 7,50,000 - 9,00,000 PA.   ",  Pooja  ," Posted  by     Pooja    , 2 days ago ",2 days ago
1,https://www.naukri.com/job-listings-Advisor-E-business-Dell-International-Services-India-Private-Limited-Hyderabad-4-to-6-years-230919903054?src=jobsearchDesk&sid=15692605182591&xp=2&px=1,"E - Business, Internet Marketing, Hadoop, Big Data, Advisor...","Advisor, E-business",Dell International Services India  Private Limited,4-6 yrs,Hyderabad,"  E - Business, Internet Marketing, Hadoop, Big Data, Advisor... ",  Not disclosed  ,  HR  ," Posted  by     HR    , Today ",Today
2,https://www.naukri.com/job-listings-Research-Associate-Teamlease-Servcies-limited-Hyderabad-0-to-1-years-230919001712?src=jobsearchDesk&sid=15692605182591&xp=3&px=1,"B Tech Fresher, M Tech Fresher, Machine Learning, B.Tech, Deep Learning...",Research Associate,Teamlease Servcies limited,0-1 yrs,Hyderabad,"  B Tech Fresher, M Tech Fresher, Machine Learning, B.Tech, Deep Learning... "," INR 50,000 - 3,00,000 PA.   ",  HR  ," Posted  by     HR    , Today ",Today
3,https://www.naukri.com/job-listings-Python-Scripting-Professional-Accenture-Solutions-Pvt-Ltd-Hyderabad-5-to-6-years-210919905498?src=jobsearchDesk&sid=15692605182591&xp=4&px=1,"Java, Python Scripting, Hadoop, Cassandra, Hdfs, Hive, data extraction...",Python Scripting Professional,Accenture Solutions Pvt Ltd,5-6 yrs,Hyderabad,"  Java, Python Scripting, Hadoop, Cassandra, Hdfs, Hive, data extraction... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago
4,https://www.naukri.com/job-listings-Security-Analyst-CYGILANT-INDIA-RESEARCH-AND-DEVELOPMENT-Pvt-Ltd-Hyderabad-5-to-9-years-210919000143?src=jobsearchDesk&sid=15692605182591&xp=5&px=1,"Security Analysis, Pearl, SOC, SIEM, Qradar, Vulnerability Management...",Security Analyst,CYGILANT (INDIA) RESEARCH AND DEVELOPMENT Pvt Ltd,5-9 yrs,Hyderabad,"  Security Analysis, Pearl, SOC, SIEM, Qradar, Vulnerability Management... ",  Not disclosed  ,  Marissa Wilson  ," Posted  by     Marissa Wilson    , 2 days ago ",2 days ago
5,https://www.naukri.com/job-listings-GDC-In-BDS-Senior-Consultant-SOC-Cyber-Security-ATOS-GLOBAL-IT-SOLUTIONS-AND-SERVICES-PVT-LTD-Hyderabad-3-to-6-years-230919909051?src=jobsearchDesk&sid=15692605182591&xp=6&px=1,"Malware Analysis, Crisis Management, Log Analysis, Big Data...",GDC In BDS Senior Consultant - SOC - Cyber Security,ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,3-6 yrs,Hyderabad,"  Malware Analysis, Crisis Management, Log Analysis, Big Data... ",  Not disclosed  ,  HR  ," Posted  by     HR    , Few Hours Ago ",Few Hours Ago
6,https://www.naukri.com/job-listings-Full-Stack-Developer-hyderabad-3-To-5-Years-Maintec-Technologies-Private-Limited-Hyderabad-3-to-5-years-230919010095?src=jobsearchDesk&sid=15692605182591&xp=7&px=1,"Java, J2EE, Adobe, Spring, Full stack developer, Jenkins, NoSQL, Chennai...",Full Stack Developer_hyderabad_3 To 5 Years,Maintec Technologies Private Limited,3-5 yrs,Hyderabad,"  Java, J2EE, Adobe, Spring, Full stack developer, Jenkins, NoSQL, Chennai... ",  Not disclosed  ,  Nadiya  ," Posted  by     Nadiya    , Few Hours Ago ",Few Hours Ago
7,https://www.naukri.com/job-listings-Test-Engineer-Automation-Testing-CGI-Information-Systems-and-Management-Consultants-Hyderabad-2-to-6-years-200919004215?src=jobsearchDesk&sid=15692605182591&xp=8&px=1,"Core Java, ERP, github, Automation testing, CGI, robot framework, Selenium,...",Test Engineer Automation Testing,CGI Information Systems and Management Consultants,2-6 yrs,Hyderabad,"  Core Java, ERP, github, Automation testing, CGI, robot framework, Selenium,... ",  Not disclosed  ,  HR  ," Posted  by     HR    , Today ",Today
8,https://www.naukri.com/job-listings-Python-Developer-Impact-HR-Services-Pvt-Ltd-Hyderabad-1-to-2-years-210919003164?src=jobsearchDesk&sid=15692605182591&xp=9&px=1,"automation framework, python, version control, problem solving...",Python Developer,Impact HR Services Pvt.Ltd.,1-2 yrs,Hyderabad,"  automation framework, python, version control, problem solving... "," INR 2,00,000 - 4,00,000 PA.   ",  Prakash Kewalramani (MBA IIM-Ahd)  ," Posted  by     Prakash Kewalramani (MBA IIM-Ahd)    , 2 days ago ",2 days ago
9,https://www.naukri.com/job-listings-Hiring-Data-Science-Professionals-Tech-Mahindra-Hyd-Tech-Mahindra-Ltd-Hyderabad-6-to-11-years-210819001421?src=jobsearchDesk&sid=15692605182591&xp=10&px=1,"Data Science, R, Data Visualization, Hybrid Boosting, Machine Learning...","Hiring Data Science Professionals - Tech Mahindra, Hyd",Tech Mahindra Ltd.,6-11 yrs,Hyderabad,"  Data Science, R, Data Visualization, Hybrid Boosting, Machine Learning... "," INR 8,00,000 - 16,00,000 PA.   ",  Satish D  ," Posted  by     Satish D    , 2 days ago ",2 days ago
