,joburl,skill,designation,orgnization,location,moredesc,salary,recruitername,recruiterdetails,jobpostingdate,start,end,Match Percentage(%)
32,https://www.naukri.com/job-listings-Java-or-Python-or-c-Developer-only-Female-maternity-Break-RGF-SELECT-INDIA-PRIVATE-LIMITED-Bengaluru-Hyderabad-3-to-8-years-060919003520?src=jobsearchDesk&sid=15678686665085&xp=33&px=1,"c++, python, java",Java or Python or c++ Developer (only Female)maternity Break,RGF SELECT INDIA PRIVATE LIMITED,"Bengaluru, Hyderabad","  c++, python, java ",  Not disclosed  ,  vijayalakshmi  ," Posted  by     vijayalakshmi    , 1 day ago ",1 day ago,3,8,63
0,https://www.naukri.com/job-listings-Python-Linux-Admin-Invesco-India-Pvt-Ltd-Hyderabad-10-to-12-years-260819904949?src=nfl&sid=15678686665085&xp=1&px=1,"continuous delivery, data quality, python, automation, java...",Python + Linux Admin,Invesco (India) Pvt Ltd,Hyderabad,"  continuous delivery, data quality, python, automation, java... ",  Not disclosed  ,  HR  , Posted  by     HR   ,,10,12,57
3,https://www.naukri.com/job-listings-Exclusive-Hiring-For-Python-Developer-8-years-HCL-Technologies-Ltd-Hyderabad-8-to-13-years-060919001133?src=jobsearchDesk&sid=15678686665085&xp=4&px=1,"Javascript, Python",Exclusive Hiring For Python Developer(8+years),HCL Technologies Ltd,Hyderabad,"  Javascript, Python "," INR 9,00,000 - 19,00,000 PA.   ",  Vickram  ," Posted  by     Vickram    , 1 day ago ",1 day ago,8,13,52
39,https://www.naukri.com/job-listings-Software-Engineering-Leads-Machine-Learning-PrimeSoft-IP-Solutions-Pvt-Ltd-Bengaluru-Hyderabad-6-to-10-years-240719001839?src=jobsearchDesk&sid=15678686665085&xp=40&px=1,"Java, C++, Python or R",Software Engineering Leads - Machine Learning,PrimeSoft IP Solutions Pvt Ltd,"Bengaluru, Hyderabad","  Java, C++, Python or R "," INR 6,00,000 - 15,00,000 PA.   ",  C.Ganesan  ," Posted  by     C.Ganesan    , 2 days ago ",2 days ago,6,10,50
24,https://www.naukri.com/job-listings-Automation-Testing-Engineer-votarytech-hyderabad-Votary-Softech-Solutions-Pvt-Ltd-Hyderabad-1-to-4-years-060919002191?src=jobsearchDesk&sid=15678686665085&xp=25&px=1,"Embedded Testing, python scripting, perl scripting, GIT, python automation,...",Automation Testing Engineer_votarytech_hyderabad,Votary Softech Solutions Pvt. Ltd.,Hyderabad,"  Embedded Testing, python scripting, perl scripting, GIT, python automation,... ",  Not disclosed  ,  Geetha  ," Posted  by     Geetha    , 1 day ago ",1 day ago,1,4,49
27,https://www.naukri.com/job-listings-IT-QA-Engineer-Technology-Development-TechKnowledgey-Pte-Ltd-Hyderabad-Bengaluru-2-to-7-years-060919004853?src=jobsearchDesk&sid=15678686665085&xp=28&px=1,"front end, python, automation testing, teradata, software qa, qa analyst...",IT QA Engineer - Technology Development,TechKnowledgey Pte Ltd,"Hyderabad, Bengaluru","  front end, python, automation testing, teradata, software qa, qa analyst... "," INR 8,00,000 - 18,00,000 PA.   ",  Parnika  ," Posted  by     Parnika    , 1 day ago ",1 day ago,2,7,48
11,https://www.naukri.com/job-listings-Team-Manager-Analytics-Inventurus-Knowledge-Solutions-Private-Limited-Hyderabad-Uppal-3-to-8-years-300819006554?src=jobsearchDesk&sid=15678686665085&xp=12&px=1,"analytics, r, data analysis, data science, predictive modeling, sql...",Team Manager- Analytics,Inventurus Knowledge Solutions Private Limited,Hyderabad(Uppal),"  analytics, r, data analysis, data science, predictive modeling, sql... "," INR 6,00,000 - 7,00,000 PA.   ",  Ms Vallabha Sawant  ," Posted  by     Ms Vallabha Sawant    , 1 day ago ",1 day ago,3,8,46
12,https://www.naukri.com/job-listings-Lead-Data-Scientist-Confidential-Fintech-Hyderabad-4-to-9-years-070919003442?src=jobsearchDesk&sid=15678686665085&xp=13&px=1,"python, data analytics, data mining, Customer Segmentation, Finance...",Lead Data Scientist,Confidential Fintech,Hyderabad,"  python, data analytics, data mining, Customer Segmentation, Finance... ",  Not disclosed  ,  Kishore  ," Posted  by     Kishore    , Few Hours Ago ",Few Hours Ago,4,9,46
33,https://www.naukri.com/job-listings-QA-Executive-Automation-TechKnowledgey-Pte-Ltd-Hyderabad-Bengaluru-0-to-5-years-060919004754?src=jobsearchDesk&sid=15678686665085&xp=34&px=1,"automation framework, c++, python, manual testing, engineering, IT, quality...",QA Executive - Automation,TechKnowledgey Pte Ltd,"Hyderabad, Bengaluru","  automation framework, c++, python, manual testing, engineering, IT, quality... "," INR 12,00,000 - 22,00,000 PA.   ",  Parnika  ," Posted  by     Parnika    , 1 day ago ",1 day ago,0,5,45
15,https://www.naukri.com/job-listings-Data-Scientist-Trianz-Holdings-Pvt-Ltd-Hyderabad-7-to-12-years-060919006231?src=jobsearchDesk&sid=15678686665085&xp=16&px=1,"Data Science, R, Big Data Analytics, NLP, Natural Language Processing...",Data Scientist,Trianz Holdings Pvt. Ltd.,Hyderabad,"  Data Science, R, Big Data Analytics, NLP, Natural Language Processing... ",  Not disclosed  ,  Ganesh L  ," Posted  by     Ganesh L    , 1 day ago ",1 day ago,7,12,44
47,https://www.naukri.com/job-listings-Analyst-Big-Data-Technologies-Okda-Solutions-Chennai-Hyderabad-2-to-3-years-030919909686?src=jobsearchDesk&sid=15678686665085&xp=48&px=1,"Java, PostgreSQL, Scala, Big Data, Spark, Python",Analyst - Big Data Technologies,Okda Solutions,"Chennai, Hyderabad","  Java, PostgreSQL, Scala, Big Data, Spark, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,2,3,41
18,https://www.naukri.com/job-listings-Software-Developer-Project-Lead-Design-Implementation-Aristo-Consultants-Hyderabad-5-to-9-years-060919902121?src=jobsearchDesk&sid=15678686665085&xp=19&px=1,"Java, Trading Systems, data science, mathematics, Data Scientist...",Software Developer / Project Lead - Design & Implementation,Aristo Consultants,Hyderabad,"  Java, Trading Systems, data science, mathematics, Data Scientist... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 1 day ago ",1 day ago,5,9,41
17,https://www.naukri.com/job-listings-Project-Leader-python-Postgresql-ENERGYTECH-GLOBAL-PRIVATE-LIMITED-Hyderabad-4-to-9-years-040219002415?src=jobsearchDesk&sid=15678686665085&xp=18&px=1,"Openerp, Linux, Postgresql, Computer Science, Database Design...",Project Leader (python & Postgresql),ENERGYTECH GLOBAL PRIVATE LIMITED,Hyderabad,"  Openerp, Linux, Postgresql, Computer Science, Database Design... ",  Not disclosed  ,  Rachel  ," Posted  by     Rachel    , 2 days ago ",2 days ago,4,9,40
40,https://www.naukri.com/job-listings-Hiring-For-Python-Developer-SR-Career-Solutions-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Kochi-Karimnagar-Warangal-0-to-1-years-210819001741?src=jobsearchDesk&sid=15678686665085&xp=41&px=1,"front end, python, software development, troubleshooting skills, sap...",Hiring For Python Developer,- SR Career Solutions,"Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Kochi, Karimnagar, Warangal","  front end, python, software development, troubleshooting skills, sap... "," INR 3,00,000 - 5,00,000 PA.   ",  Vinod Paswan  ," Posted  by     Vinod Paswan    , 2 days ago ",2 days ago,0,1,40
31,https://www.naukri.com/job-listings-Build-and-Release-Engineer-CDK-Global-India-Private-Limited-Hyderabad-2-to-5-years-050919901717?src=jobsearchDesk&sid=15678686665085&xp=32&px=1,"Build and Release Engineer, continuous integration, automation scripts...",Build and Release Engineer,CDK Global (India) Private Limited,Hyderabad,"  Build and Release Engineer, continuous integration, automation scripts... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,2,5,40
7,https://www.naukri.com/job-listings-Python-Scripting-Accenture-Hyderabad-5-to-8-years-020919003424?src=jobsearchDesk&sid=15678686665085&xp=8&px=1,"Business process, Automation, Monitoring tools, Machine learning, Agile...",Python Scripting,Accenture,Hyderabad,"  Business process, Automation, Monitoring tools, Machine learning, Agile... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 1 day ago ",1 day ago,5,8,40
30,https://www.naukri.com/job-listings-Business-Analyst-Data-Scientist-Consultant-Machine-Learning-Sta-Trinamix-Systems-Private-Limited-Pune-Hyderabad-2-to-7-years-060919004953?src=jobsearchDesk&sid=15678686665085&xp=31&px=1,"Data Science, R, SAS, Statistical Modeling, Data Mining, Data Analytics...",Business Analyst - Data Scientist / Consultant - Machine Learning/ Sta,Trinamix Systems Private Limited,"Pune, Hyderabad","  Data Science, R, SAS, Statistical Modeling, Data Mining, Data Analytics... ",  Not disclosed  ,  Mahesh Nerkar  ," Posted  by     Mahesh Nerkar    , 1 day ago ",1 day ago,2,7,40
36,https://www.naukri.com/job-listings-Python-Developer-SR-Career-Solutions-Hyderabad-Anantapur-Guntur-Kakinada-Nellore-Tirupati-Vijayawada-Visakhapatnam-Warangal-0-to-1-years-210819001336?src=jobsearchDesk&sid=15678686665085&xp=37&px=1,"front end, python, software development, troubleshooting skills, sap...",Python Developer,- SR Career Solutions,"Hyderabad, Anantapur, Guntur, Kakinada, Nellore, Tirupati, Vijayawada, Visakhapatnam, Warangal","  front end, python, software development, troubleshooting skills, sap... "," INR 3,00,000 - 5,00,000 PA.   ",  Anjali  ," Posted  by     Anjali    , 2 days ago ",2 days ago,0,1,40
38,https://www.naukri.com/job-listings-Data-Engineer-SureIT-Solutions-India-Pvt-Ltd-Hyderabad-Madhapur-2-to-7-years-270519005150?src=jobsearchDesk&sid=15678686665085&xp=39&px=1,"Data Science, Java, R, NoSQL, Artificial Intelligence, Hadoop, SCALA, Spark...",Data Engineer,SureIT Solutions India Pvt. Ltd.,Hyderabad(Madhapur),"  Data Science, Java, R, NoSQL, Artificial Intelligence, Hadoop, SCALA, Spark... ",  Not disclosed  ,  Suchitra  ," Posted  by     Suchitra    , 2 days ago ",2 days ago,2,7,40
5,https://www.naukri.com/job-listings-Data-Analyst-PIRAMAL-ENTERPRISES-LTD-Hyderabad-4-to-5-years-050919008154?src=jobsearchDesk&sid=15678686665085&xp=6&px=1,"Java, Business Solutions, Algorithms, SCALA, Technical Skills, Database...",Data Analyst,PIRAMAL ENTERPRISES LTD,Hyderabad,"  Java, Business Solutions, Algorithms, SCALA, Technical Skills, Database... "," INR 8,00,000 - 9,00,000 PA.   ",  Talent Acquisition Team  ," Posted  by     Talent Acquisition Team    , 2 days ago ",2 days ago,4,5,40
9,https://www.naukri.com/job-listings-Hiring-Data-Science-Professionals-Tech-Mahindra-Hyd-Tech-Mahindra-Ltd-Hyderabad-6-to-11-years-210819001421?src=jobsearchDesk&sid=15678686665085&xp=10&px=1,"Data Science, R, Data Visualization, Hybrid Boosting, Machine Learning...","Hiring Data Science Professionals - Tech Mahindra, Hyd",Tech Mahindra Ltd.,Hyderabad,"  Data Science, R, Data Visualization, Hybrid Boosting, Machine Learning... "," INR 8,00,000 - 16,00,000 PA.   ",  Satish D  ," Posted  by     Satish D    , Today ",Today,6,11,39
10,https://www.naukri.com/job-listings-Software-Development-scripting-Engineer-Perl-python-Programming-ConverseHR-Hyderabad-2-to-4-years-060919902169?src=jobsearchDesk&sid=15678686665085&xp=11&px=1,"Multithreading, Linux OS, Shell Scripting, Javascript, Perl...",Software Development/scripting Engineer - Perl/python Programming,ConverseHR,Hyderabad,"  Multithreading, Linux OS, Shell Scripting, Javascript, Perl... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 1 day ago ",1 day ago,2,4,38
37,https://www.naukri.com/job-listings-Test-Automation-Engineer-PrimeSoft-IP-Solutions-Pvt-Ltd-Bengaluru-Hyderabad-3-to-5-years-260819004324?src=jobsearchDesk&sid=15678686665085&xp=38&px=1,"Java, SOAP UI, Testng, API Testing, Grid, Javascript, Appium...",Test Automation  Engineer,PrimeSoft IP Solutions Pvt Ltd,"Bengaluru, Hyderabad","  Java, SOAP UI, Testng, API Testing, Grid, Javascript, Appium... ",  Not disclosed  ,  Deepta Mathur  ," Posted  by     Deepta Mathur    , 2 days ago ",2 days ago,3,5,38
4,https://www.naukri.com/job-listings-Senior-Software-Consultant-scrum-Master-ENERGYTECH-GLOBAL-PRIVATE-LIMITED-Hyderabad-8-to-13-years-210319002468?src=jobsearchDesk&sid=15678686665085&xp=5&px=1,"Communication Skills, Software Development, Openerp, Linux, Scrum Master...",Senior Software Consultant (scrum Master),ENERGYTECH GLOBAL PRIVATE LIMITED,Hyderabad,"  Communication Skills, Software Development, Openerp, Linux, Scrum Master... ",  Not disclosed  ,  Rachel  ," Posted  by     Rachel    , 2 days ago ",2 days ago,8,13,38
2,https://www.naukri.com/job-listings-Cloud-Automation-Engineer-python-ansible-with-6-11-Years-Experience-DataSpeaks-Services-Private-Limited-Hyderabad-6-to-11-years-050919008705?src=jobsearchDesk&sid=15678686665085&xp=3&px=1,"python, Powershell, Chef, Bash, python developer, Saltstack...",Cloud Automation Engineer (python/ansible) with 6-11 Years Experience,DataSpeaks Services Private Limited,Hyderabad,"  python, Powershell, Chef, Bash, python developer, Saltstack... "," INR 6,50,000 - 16,50,000 PA.   ",  Jagadishwar Balla  ," Posted  by     Jagadishwar Balla    , 2 days ago ",2 days ago,6,11,38
41,https://www.naukri.com/job-listings-Senior-Analyst-NLP-Python-R-Okda-Solutions-Chennai-Hyderabad-3-to-5-years-040919903526?src=jobsearchDesk&sid=15678686665085&xp=42&px=1,"R, NLP, Open Source, Machine Learning, Algorithm, Analytics, Python",Senior Analyst - NLP/ Python/ R,Okda Solutions,"Chennai, Hyderabad","  R, NLP, Open Source, Machine Learning, Algorithm, Analytics, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,3,5,38
42,https://www.naukri.com/job-listings-Fresher-Java-Developer-Python-Developer-Salesforce-Developer-SR-Career-Solutions-Chennai-Hyderabad-Anantapur-Coimbatore-Guntur-Kurnool-Tirupati-Vijayawada-Visakhapatnam-0-to-1-years-200819005348?src=jobsearchDesk&sid=15678686665085&xp=43&px=1,"Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc...","Fresher Java Developer, Python Developer, Salesforce Developer",- SR Career Solutions,"Chennai, Hyderabad, Anantapur, Coimbatore, Guntur, Kurnool, Tirupati, Vijayawada, Visakhapatnam","  Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc... "," INR 3,00,000 - 5,00,000 PA.   ",  Anjali  ," Posted  by     Anjali    , 2 days ago ",2 days ago,0,1,37
43,https://www.naukri.com/job-listings-Software-Engineer-SR-Career-Solutions-Mumbai-Bengaluru-Domlur-Chennai-MGR-Road-Hyderabad-Pune-Kolkata-0-to-1-years-200819005231?src=jobsearchDesk&sid=15678686665085&xp=44&px=1,"Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc...",Software Engineer,- SR Career Solutions,"Mumbai, Bengaluru(Domlur), Chennai(MGR Road), Hyderabad, Pune, Kolkata","  Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc... "," INR 3,00,000 - 5,00,000 PA.   ",  Rohan  ," Posted  by     Rohan    , 2 days ago ",2 days ago,0,1,37
29,https://www.naukri.com/job-listings-Big-Data-Engineer-Neudesic-Technologies-Pvt-Ltd-Bengaluru-Hyderabad-Kochi-3-to-8-years-050919011171?src=jobsearchDesk&sid=15678686665085&xp=30&px=1,"Big Query, python, GCP, Hadoop, SCALA, Data Flow, Data Proc",Big Data Engineer,Neudesic Technologies Pvt. Ltd,"Bengaluru, Hyderabad, Kochi","  Big Query, python, GCP, Hadoop, SCALA, Data Flow, Data Proc ",  Not disclosed  ,  Lakshmi Nanjundappa  ," Posted  by     Lakshmi Nanjundappa    , 2 days ago ",2 days ago,3,8,37
46,https://www.naukri.com/job-listings-Fresher-Walk-in-Software-Engineer-SR-Career-Solutions-Mumbai-Bengaluru-Domlur-Chennai-MGR-Road-Hyderabad-Pune-Kolkata-Bhopal-Bhubaneshwar-Lucknow-0-to-1-years-200819005073?src=jobsearchDesk&sid=15678686665085&xp=47&px=1,"Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc...",Fresher Walk-in Software Engineer,- SR Career Solutions,"Mumbai, Bengaluru(Domlur), Chennai(MGR Road), Hyderabad, Pune, Kolkata, Bhopal, Bhubaneshwar, Lucknow","  Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc... "," INR 3,00,000 - 5,00,000 PA.   ",  Vinod Paswan  ," Posted  by     Vinod Paswan    , 2 days ago ",2 days ago,0,1,37
48,https://www.naukri.com/job-listings-Senior-F5-Engineer-ADP-Pvt-Ltd-Hyderabad-2-to-7-years-200819004421?src=jobsearchDesk&sid=15678686665085&xp=49&px=1,"python, network security, web technologies, haproxy, networking, Perl...",Senior F5 Engineer,ADP Pvt. Ltd.,Hyderabad,"  python, network security, web technologies, haproxy, networking, Perl... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago,2,7,37
